COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
64121,64,Beyrie-en-Béarn,195,0.0,0,0.0,29.5,0.0,0,0,0.0,26,37,18,74,20
64122,64,Biarritz,25810,0.0,0,10.0,225.5,0.0,0,0,0.0,218,60,18,92,135
64123,64,Bidache,1347,0.0,0,3.0,26.0,0.0,0,0,0.0,37,37,18,74,22
64124,64,Bidarray,675,0.0,0,0.0,26.0,0.0,0,0,0.0,31,37,18,74,19
64125,64,Bidart,7674,0.0,0,16.0,52.9,0.0,0,0,0.0,99,37,18,74,45
64126,64,Bidos,1109,0.0,0,0.0,26.3,0.0,0,0,0.0,36,37,18,74,19
64127,64,Bielle,377,0.0,0,6.0,12.7,0.0,0,0,0.0,29,37,18,74,22
64128,64,Bilhères,155,0.0,0,0.0,12.7,0.0,0,0,0.0,21,37,18,74,15
64129,64,Billère,14037,0.0,0,19.0,80.4,0.0,0,0,0.0,108,65,29,107,63
64130,64,Biriatou,1259,0.0,0,7.0,26.0,0.0,0,0,0.0,429,270,18,74,27
64131,64,Biron,607,0.0,0,4.0,26.9,0.0,0,0,0.0,34,37,18,74,24
64132,64,Bizanos,4570,0.0,0,11.0,53.8,0.0,0,0,0.0,100,37,18,100,39
64133,64,Boeil-Bezing,1330,0.0,0,0.0,10.7,0.0,0,0,0.0,30,37,18,74,15
64134,64,Bonloc,371,0.0,0,0.0,128.6,0.0,0,0,0.0,28,37,18,74,49
64135,64,Bonnut,801,0.0,0,1.0,26.9,0.0,0,0,0.0,26,37,18,74,20
64136,64,Borce,114,0.0,0,2.0,21.5,0.0,0,0,0.0,26,37,18,74,20
64137,64,Bordères,676,0.0,0,0.0,10.7,0.0,0,0,0.0,26,37,18,74,15
64138,64,Bordes,2878,0.0,0,8.0,10.7,0.0,0,0,0.0,32,37,18,74,23
64139,64,Bosdarros,969,0.0,0,0.0,38.5,0.0,0,0,0.0,30,37,18,74,23
64140,64,Boucau,8934,0.0,0,17.0,62.8,0.0,0,0,0.0,65,48,18,74,49
